"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","EMPAGE","25_54","PC_AGE","A","2014",70.11002,
"MEX","EMPAGE","25_54","PC_AGE","A","2015",70.81456,
"MEX","EMPAGE","25_54","PC_AGE","A","2016",71.20299,
"MEX","EMPAGE","25_54","PC_AGE","A","2017",71.32561,
"MEX","EMPAGE","25_54","PC_AGE","A","2018",71.84338,
"NLD","EMPAGE","25_54","PC_AGE","A","2014",81.7,
"NLD","EMPAGE","25_54","PC_AGE","A","2015",82.225,
"NLD","EMPAGE","25_54","PC_AGE","A","2016",82.925,
"NLD","EMPAGE","25_54","PC_AGE","A","2017",83.45,
"NLD","EMPAGE","25_54","PC_AGE","A","2018",84.6,
"NZL","EMPAGE","25_54","PC_AGE","A","2014",81.74482,
"NZL","EMPAGE","25_54","PC_AGE","A","2015",81.66682,
"NZL","EMPAGE","25_54","PC_AGE","A","2016",83.09332,
"NZL","EMPAGE","25_54","PC_AGE","A","2017",84.11453,
"NZL","EMPAGE","25_54","PC_AGE","A","2018",84.53993,
"NOR","EMPAGE","25_54","PC_AGE","A","2014",83.9,
"NOR","EMPAGE","25_54","PC_AGE","A","2015",83.075,
"NOR","EMPAGE","25_54","PC_AGE","A","2016",82.65,
"NOR","EMPAGE","25_54","PC_AGE","A","2017",82.45,
"NOR","EMPAGE","25_54","PC_AGE","A","2018",83.325,
"POL","EMPAGE","25_54","PC_AGE","A","2014",78.4,
"POL","EMPAGE","25_54","PC_AGE","A","2015",79.475,
"POL","EMPAGE","25_54","PC_AGE","A","2016",80.325,
"POL","EMPAGE","25_54","PC_AGE","A","2017",81.375,
"POL","EMPAGE","25_54","PC_AGE","A","2018",82.375,
"PRT","EMPAGE","25_54","PC_AGE","A","2014",77.35,
"PRT","EMPAGE","25_54","PC_AGE","A","2015",78.825,
"PRT","EMPAGE","25_54","PC_AGE","A","2016",80.2,
"PRT","EMPAGE","25_54","PC_AGE","A","2017",82.55,
"PRT","EMPAGE","25_54","PC_AGE","A","2018",84.325,
"SVK","EMPAGE","25_54","PC_AGE","A","2014",76.8,
"SVK","EMPAGE","25_54","PC_AGE","A","2015",78.15,
"SVK","EMPAGE","25_54","PC_AGE","A","2016",80,
"SVK","EMPAGE","25_54","PC_AGE","A","2017",80,
"SVK","EMPAGE","25_54","PC_AGE","A","2018",81.25,
"ESP","EMPAGE","25_54","PC_AGE","A","2014",67.4,
"ESP","EMPAGE","25_54","PC_AGE","A","2015",69.425,
"ESP","EMPAGE","25_54","PC_AGE","A","2016",71.5,
"ESP","EMPAGE","25_54","PC_AGE","A","2017",73.175,
"ESP","EMPAGE","25_54","PC_AGE","A","2018",74.675,
"SWE","EMPAGE","25_54","PC_AGE","A","2014",85.375,
"SWE","EMPAGE","25_54","PC_AGE","A","2015",85.65,
"SWE","EMPAGE","25_54","PC_AGE","A","2016",85.95,
"SWE","EMPAGE","25_54","PC_AGE","A","2017",86.325,
"SWE","EMPAGE","25_54","PC_AGE","A","2018",86.75,
"CHE","EMPAGE","25_54","PC_AGE","A","2014",85.775,
"CHE","EMPAGE","25_54","PC_AGE","A","2015",86.275,
"CHE","EMPAGE","25_54","PC_AGE","A","2016",86.3,
"CHE","EMPAGE","25_54","PC_AGE","A","2017",86.175,
"CHE","EMPAGE","25_54","PC_AGE","A","2018",86.7,
"TUR","EMPAGE","25_54","PC_AGE","A","2014",58.8,
"TUR","EMPAGE","25_54","PC_AGE","A","2015",59.55,
"TUR","EMPAGE","25_54","PC_AGE","A","2016",60.05,
"TUR","EMPAGE","25_54","PC_AGE","A","2017",61.15,
"TUR","EMPAGE","25_54","PC_AGE","A","2018",61.425,
"GBR","EMPAGE","25_54","PC_AGE","A","2014",82.075,
"GBR","EMPAGE","25_54","PC_AGE","A","2015",82.375,
"GBR","EMPAGE","25_54","PC_AGE","A","2016",82.95,
"GBR","EMPAGE","25_54","PC_AGE","A","2017",83.775,
"GBR","EMPAGE","25_54","PC_AGE","A","2018",84.3,
"USA","EMPAGE","25_54","PC_AGE","A","2014",76.69785,
"USA","EMPAGE","25_54","PC_AGE","A","2015",77.24269,
"USA","EMPAGE","25_54","PC_AGE","A","2016",77.92879,
"USA","EMPAGE","25_54","PC_AGE","A","2017",78.62778,
"USA","EMPAGE","25_54","PC_AGE","A","2018",79.36824,
"CHL","EMPAGE","25_54","PC_AGE","A","2014",74.88624,
"CHL","EMPAGE","25_54","PC_AGE","A","2015",74.91848,
"CHL","EMPAGE","25_54","PC_AGE","A","2016",74.83096,
"CHL","EMPAGE","25_54","PC_AGE","A","2017",74.88642,
"CHL","EMPAGE","25_54","PC_AGE","A","2018",74.9436,
"EST","EMPAGE","25_54","PC_AGE","A","2014",80.85,
"EST","EMPAGE","25_54","PC_AGE","A","2015",82.975,
"EST","EMPAGE","25_54","PC_AGE","A","2016",82.575,
"EST","EMPAGE","25_54","PC_AGE","A","2017",83.95,
"EST","EMPAGE","25_54","PC_AGE","A","2018",84.2,
"ISR","EMPAGE","25_54","PC_AGE","A","2014",78.225,
"ISR","EMPAGE","25_54","PC_AGE","A","2015",78.73333,
"ISR","EMPAGE","25_54","PC_AGE","A","2016",79.19167,
"ISR","EMPAGE","25_54","PC_AGE","A","2017",79.70834,
"ISR","EMPAGE","25_54","PC_AGE","A","2018",80.06667,
"SVN","EMPAGE","25_54","PC_AGE","A","2014",81.925,
"SVN","EMPAGE","25_54","PC_AGE","A","2015",82.95,
"SVN","EMPAGE","25_54","PC_AGE","A","2016",83.475,
"SVN","EMPAGE","25_54","PC_AGE","A","2017",86.1,
"SVN","EMPAGE","25_54","PC_AGE","A","2018",87.5,
"ZAF","EMPAGE","25_54","PC_AGE","A","2014",57.4549,
"ZAF","EMPAGE","25_54","PC_AGE","A","2015",58.31128,
"ZAF","EMPAGE","25_54","PC_AGE","A","2016",57.51431,
"ZAF","EMPAGE","25_54","PC_AGE","A","2017",57.39731,
"ZAF","EMPAGE","25_54","PC_AGE","A","2018",57.25775,
"EU28","EMPAGE","25_54","PC_AGE","A","2014",77.425,
"EU28","EMPAGE","25_54","PC_AGE","A","2015",78,
"EU28","EMPAGE","25_54","PC_AGE","A","2016",78.725,
"EU28","EMPAGE","25_54","PC_AGE","A","2017",79.65,
"EU28","EMPAGE","25_54","PC_AGE","A","2018",80.45,
"OECD","EMPAGE","25_54","PC_AGE","A","2014",76.00771,"B"
"OECD","EMPAGE","25_54","PC_AGE","A","2015",76.52779,"B"
"OECD","EMPAGE","25_54","PC_AGE","A","2016",77.12811,"B"
"OECD","EMPAGE","25_54","PC_AGE","A","2017",77.76984,"B"
"OECD","EMPAGE","25_54","PC_AGE","A","2018",78.43257,
"G-7","EMPAGE","25_54","PC_AGE","A","2014",78.55645,
"G-7","EMPAGE","25_54","PC_AGE","A","2015",78.91403,
"G-7","EMPAGE","25_54","PC_AGE","A","2016",79.49178,
"G-7","EMPAGE","25_54","PC_AGE","A","2017",80.13876,
"G-7","EMPAGE","25_54","PC_AGE","A","2018",80.83735,
"EA19","EMPAGE","25_54","PC_AGE","A","2014",76.05,
"EA19","EMPAGE","25_54","PC_AGE","A","2015",76.575,
"EA19","EMPAGE","25_54","PC_AGE","A","2016",77.375,
"EA19","EMPAGE","25_54","PC_AGE","A","2017",78.125,
"EA19","EMPAGE","25_54","PC_AGE","A","2018",78.975,
"COL","EMPAGE","25_54","PC_AGE","A","2014",78.2,
"COL","EMPAGE","25_54","PC_AGE","A","2015",78.645,
"COL","EMPAGE","25_54","PC_AGE","A","2016",78.28584,
"COL","EMPAGE","25_54","PC_AGE","A","2017",77.98333,
"COL","EMPAGE","25_54","PC_AGE","A","2018",77.38,
"RUS","EMPAGE","25_54","PC_AGE","A","2014",85.74886,
"LVA","EMPAGE","25_54","PC_AGE","A","2014",78.175,
"LVA","EMPAGE","25_54","PC_AGE","A","2015",79.225,
"LVA","EMPAGE","25_54","PC_AGE","A","2016",79.7,
"LVA","EMPAGE","25_54","PC_AGE","A","2017",81.275,
"LVA","EMPAGE","25_54","PC_AGE","A","2018",82.7,
"LTU","EMPAGE","25_54","PC_AGE","A","2014",80.85,
"LTU","EMPAGE","25_54","PC_AGE","A","2015",81.6,
"LTU","EMPAGE","25_54","PC_AGE","A","2016",82.75,
"LTU","EMPAGE","25_54","PC_AGE","A","2017",83.375,
"LTU","EMPAGE","25_54","PC_AGE","A","2018",84.65,
