"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","EMPAGE","55_64","PC_AGE","A","2018",66.83384,
"LUX","EMPAGE","55_64","PC_AGE","A","2014",42.55,"B"
"LUX","EMPAGE","55_64","PC_AGE","A","2015",38.45,
"LUX","EMPAGE","55_64","PC_AGE","A","2016",39.55,
"LUX","EMPAGE","55_64","PC_AGE","A","2017",39.75,
"LUX","EMPAGE","55_64","PC_AGE","A","2018",40.45,
"MEX","EMPAGE","55_64","PC_AGE","A","2014",54.9527,
"MEX","EMPAGE","55_64","PC_AGE","A","2015",54.71584,
"MEX","EMPAGE","55_64","PC_AGE","A","2016",54.94603,
"MEX","EMPAGE","55_64","PC_AGE","A","2017",54.92516,
"MEX","EMPAGE","55_64","PC_AGE","A","2018",55.33916,
"NLD","EMPAGE","55_64","PC_AGE","A","2014",59.85,
"NLD","EMPAGE","55_64","PC_AGE","A","2015",61.725,
"NLD","EMPAGE","55_64","PC_AGE","A","2016",63.475,
"NLD","EMPAGE","55_64","PC_AGE","A","2017",65.65,
"NLD","EMPAGE","55_64","PC_AGE","A","2018",67.675,
"NZL","EMPAGE","55_64","PC_AGE","A","2014",76.18787,
"NZL","EMPAGE","55_64","PC_AGE","A","2015",75.22417,
"NZL","EMPAGE","55_64","PC_AGE","A","2016",76.096,
"NZL","EMPAGE","55_64","PC_AGE","A","2017",78.21723,
"NZL","EMPAGE","55_64","PC_AGE","A","2018",77.92708,
"NOR","EMPAGE","55_64","PC_AGE","A","2014",72.175,
"NOR","EMPAGE","55_64","PC_AGE","A","2015",72.2,
"NOR","EMPAGE","55_64","PC_AGE","A","2016",72.625,
"NOR","EMPAGE","55_64","PC_AGE","A","2017",71.9,
"NOR","EMPAGE","55_64","PC_AGE","A","2018",72.05,
"POL","EMPAGE","55_64","PC_AGE","A","2014",42.45,
"POL","EMPAGE","55_64","PC_AGE","A","2015",44.325,
"POL","EMPAGE","55_64","PC_AGE","A","2016",46.15,
"POL","EMPAGE","55_64","PC_AGE","A","2017",48.275,
"POL","EMPAGE","55_64","PC_AGE","A","2018",48.95,
"PRT","EMPAGE","55_64","PC_AGE","A","2014",47.825,
"PRT","EMPAGE","55_64","PC_AGE","A","2015",49.9,
"PRT","EMPAGE","55_64","PC_AGE","A","2016",52.075,
"PRT","EMPAGE","55_64","PC_AGE","A","2017",56.225,
"PRT","EMPAGE","55_64","PC_AGE","A","2018",59.225,
"SVK","EMPAGE","55_64","PC_AGE","A","2014",44.775,
"SVK","EMPAGE","55_64","PC_AGE","A","2015",46.975,
"SVK","EMPAGE","55_64","PC_AGE","A","2016",49.05,
"SVK","EMPAGE","55_64","PC_AGE","A","2017",52.95,
"SVK","EMPAGE","55_64","PC_AGE","A","2018",54.225,
"ESP","EMPAGE","55_64","PC_AGE","A","2014",44.3,
"ESP","EMPAGE","55_64","PC_AGE","A","2015",46.9,
"ESP","EMPAGE","55_64","PC_AGE","A","2016",49.075,
"ESP","EMPAGE","55_64","PC_AGE","A","2017",50.5,
"ESP","EMPAGE","55_64","PC_AGE","A","2018",52.15,
"SWE","EMPAGE","55_64","PC_AGE","A","2014",73.975,
"SWE","EMPAGE","55_64","PC_AGE","A","2015",74.45,
"SWE","EMPAGE","55_64","PC_AGE","A","2016",75.475,
"SWE","EMPAGE","55_64","PC_AGE","A","2017",76.425,
"SWE","EMPAGE","55_64","PC_AGE","A","2018",77.875,
"CHE","EMPAGE","55_64","PC_AGE","A","2014",69.225,
"CHE","EMPAGE","55_64","PC_AGE","A","2015",70.3,
"CHE","EMPAGE","55_64","PC_AGE","A","2016",71.475,
"CHE","EMPAGE","55_64","PC_AGE","A","2017",72.175,
"CHE","EMPAGE","55_64","PC_AGE","A","2018",72.6,
"TUR","EMPAGE","55_64","PC_AGE","A","2014",31.4,
"TUR","EMPAGE","55_64","PC_AGE","A","2015",31.8,
"TUR","EMPAGE","55_64","PC_AGE","A","2016",33.425,
"TUR","EMPAGE","55_64","PC_AGE","A","2017",34.425,
"TUR","EMPAGE","55_64","PC_AGE","A","2018",35.3,
"GBR","EMPAGE","55_64","PC_AGE","A","2014",60.95,
"GBR","EMPAGE","55_64","PC_AGE","A","2015",62.2,
"GBR","EMPAGE","55_64","PC_AGE","A","2016",63.375,
"GBR","EMPAGE","55_64","PC_AGE","A","2017",64.05,
"GBR","EMPAGE","55_64","PC_AGE","A","2018",65.3,
"USA","EMPAGE","55_64","PC_AGE","A","2014",61.34781,
"USA","EMPAGE","55_64","PC_AGE","A","2015",61.52417,
"USA","EMPAGE","55_64","PC_AGE","A","2016",61.78946,
"USA","EMPAGE","55_64","PC_AGE","A","2017",62.51775,
"USA","EMPAGE","55_64","PC_AGE","A","2018",63.07812,
"CHL","EMPAGE","55_64","PC_AGE","A","2014",64.23787,
"CHL","EMPAGE","55_64","PC_AGE","A","2015",64.49196,
"CHL","EMPAGE","55_64","PC_AGE","A","2016",63.81291,
"CHL","EMPAGE","55_64","PC_AGE","A","2017",65.26606,
"CHL","EMPAGE","55_64","PC_AGE","A","2018",65.62785,
"EST","EMPAGE","55_64","PC_AGE","A","2014",63.975,
"EST","EMPAGE","55_64","PC_AGE","A","2015",64.55,
"EST","EMPAGE","55_64","PC_AGE","A","2016",65.275,
"EST","EMPAGE","55_64","PC_AGE","A","2017",68.025,
"EST","EMPAGE","55_64","PC_AGE","A","2018",68.95,
"ISR","EMPAGE","55_64","PC_AGE","A","2014",65.13333,
"ISR","EMPAGE","55_64","PC_AGE","A","2015",66.24167,
"ISR","EMPAGE","55_64","PC_AGE","A","2016",66.54166,
"ISR","EMPAGE","55_64","PC_AGE","A","2017",66.75,
"ISR","EMPAGE","55_64","PC_AGE","A","2018",67.26667,
"SVN","EMPAGE","55_64","PC_AGE","A","2014",35.425,
"SVN","EMPAGE","55_64","PC_AGE","A","2015",36.6,
"SVN","EMPAGE","55_64","PC_AGE","A","2016",38.55,
"SVN","EMPAGE","55_64","PC_AGE","A","2017",42.75,
"SVN","EMPAGE","55_64","PC_AGE","A","2018",47.05,
"ZAF","EMPAGE","55_64","PC_AGE","A","2014",40.60155,
"ZAF","EMPAGE","55_64","PC_AGE","A","2015",39.99969,
"ZAF","EMPAGE","55_64","PC_AGE","A","2016",39.45979,
"ZAF","EMPAGE","55_64","PC_AGE","A","2017",41.08252,
"ZAF","EMPAGE","55_64","PC_AGE","A","2018",40.8663,
"EU28","EMPAGE","55_64","PC_AGE","A","2014",51.775,
"EU28","EMPAGE","55_64","PC_AGE","A","2015",53.25,
"EU28","EMPAGE","55_64","PC_AGE","A","2016",55.225,
"EU28","EMPAGE","55_64","PC_AGE","A","2017",57.05,
"EU28","EMPAGE","55_64","PC_AGE","A","2018",58.725,
"OECD","EMPAGE","55_64","PC_AGE","A","2014",57.30761,"B"
"OECD","EMPAGE","55_64","PC_AGE","A","2015",58.14043,"B"
"OECD","EMPAGE","55_64","PC_AGE","A","2016",59.21666,"B"
"OECD","EMPAGE","55_64","PC_AGE","A","2017",60.39957,"B"
"OECD","EMPAGE","55_64","PC_AGE","A","2018",61.36064,
"G-7","EMPAGE","55_64","PC_AGE","A","2014",60.60958,
"G-7","EMPAGE","55_64","PC_AGE","A","2015",61.38066,
"G-7","EMPAGE","55_64","PC_AGE","A","2016",62.3511,
"G-7","EMPAGE","55_64","PC_AGE","A","2017",63.46856,
"G-7","EMPAGE","55_64","PC_AGE","A","2018",64.46134,
"EA19","EMPAGE","55_64","PC_AGE","A","2014",51.65,
"EA19","EMPAGE","55_64","PC_AGE","A","2015",53.275,
"EA19","EMPAGE","55_64","PC_AGE","A","2016",55.275,
"EA19","EMPAGE","55_64","PC_AGE","A","2017",57.125,
"EA19","EMPAGE","55_64","PC_AGE","A","2018",58.75,
"COL","EMPAGE","55_64","PC_AGE","A","2014",61.54667,
"COL","EMPAGE","55_64","PC_AGE","A","2015",62.455,
"COL","EMPAGE","55_64","PC_AGE","A","2016",62.815,
"COL","EMPAGE","55_64","PC_AGE","A","2017",62.83167,
"COL","EMPAGE","55_64","PC_AGE","A","2018",63.10583,
"RUS","EMPAGE","55_64","PC_AGE","A","2014",47.35712,
"LVA","EMPAGE","55_64","PC_AGE","A","2014",56.4,
"LVA","EMPAGE","55_64","PC_AGE","A","2015",59.4,
"LVA","EMPAGE","55_64","PC_AGE","A","2016",61.35,
"LVA","EMPAGE","55_64","PC_AGE","A","2017",62.25,
"LVA","EMPAGE","55_64","PC_AGE","A","2018",65.4,
"LTU","EMPAGE","55_64","PC_AGE","A","2014",56.25,
"LTU","EMPAGE","55_64","PC_AGE","A","2015",60.4,
"LTU","EMPAGE","55_64","PC_AGE","A","2016",64.575,
"LTU","EMPAGE","55_64","PC_AGE","A","2017",66.075,
"LTU","EMPAGE","55_64","PC_AGE","A","2018",68.525,
