"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","EMPAGE","15_24","PC_AGE","A","2014",40.0433,
"JPN","EMPAGE","15_24","PC_AGE","A","2015",40.29896,
"JPN","EMPAGE","15_24","PC_AGE","A","2016",42.18013,
"JPN","EMPAGE","15_24","PC_AGE","A","2017",42.56338,
"JPN","EMPAGE","15_24","PC_AGE","A","2018",45.97301,
"KOR","EMPAGE","15_24","PC_AGE","A","2014",25.59885,
"KOR","EMPAGE","15_24","PC_AGE","A","2015",26.72864,
"KOR","EMPAGE","15_24","PC_AGE","A","2016",26.93667,
"KOR","EMPAGE","15_24","PC_AGE","A","2017",27.1594,
"KOR","EMPAGE","15_24","PC_AGE","A","2018",26.17167,
"LUX","EMPAGE","15_24","PC_AGE","A","2014",20.35,"B"
"LUX","EMPAGE","15_24","PC_AGE","A","2015",29.05,
"LUX","EMPAGE","15_24","PC_AGE","A","2016",24.925,
"LUX","EMPAGE","15_24","PC_AGE","A","2017",25.8,
"LUX","EMPAGE","15_24","PC_AGE","A","2018",28.4,
"MEX","EMPAGE","15_24","PC_AGE","A","2014",41.24504,
"MEX","EMPAGE","15_24","PC_AGE","A","2015",40.95737,
"MEX","EMPAGE","15_24","PC_AGE","A","2016",40.80734,
"MEX","EMPAGE","15_24","PC_AGE","A","2017",40.75231,
"MEX","EMPAGE","15_24","PC_AGE","A","2018",40.7422,
"NLD","EMPAGE","15_24","PC_AGE","A","2014",58.8,
"NLD","EMPAGE","15_24","PC_AGE","A","2015",60.75,
"NLD","EMPAGE","15_24","PC_AGE","A","2016",60.825,
"NLD","EMPAGE","15_24","PC_AGE","A","2017",62.275,
"NLD","EMPAGE","15_24","PC_AGE","A","2018",63.925,
"NZL","EMPAGE","15_24","PC_AGE","A","2014",51.71151,
"NZL","EMPAGE","15_24","PC_AGE","A","2015",53.07133,
"NZL","EMPAGE","15_24","PC_AGE","A","2016",54.29023,
"NZL","EMPAGE","15_24","PC_AGE","A","2017",55.38604,
"NZL","EMPAGE","15_24","PC_AGE","A","2018",56.79838,
"NOR","EMPAGE","15_24","PC_AGE","A","2014",50.15,
"NOR","EMPAGE","15_24","PC_AGE","A","2015",50.375,
"NOR","EMPAGE","15_24","PC_AGE","A","2016",48.475,
"NOR","EMPAGE","15_24","PC_AGE","A","2017",48.2,
"NOR","EMPAGE","15_24","PC_AGE","A","2018",49.075,
"POL","EMPAGE","15_24","PC_AGE","A","2014",25.8,
"POL","EMPAGE","15_24","PC_AGE","A","2015",26,
"POL","EMPAGE","15_24","PC_AGE","A","2016",28.425,
"POL","EMPAGE","15_24","PC_AGE","A","2017",29.625,
"POL","EMPAGE","15_24","PC_AGE","A","2018",30.975,
"PRT","EMPAGE","15_24","PC_AGE","A","2014",22.375,
"PRT","EMPAGE","15_24","PC_AGE","A","2015",22.8,
"PRT","EMPAGE","15_24","PC_AGE","A","2016",23.9,
"PRT","EMPAGE","15_24","PC_AGE","A","2017",25.875,
"PRT","EMPAGE","15_24","PC_AGE","A","2018",27.25,
"SVK","EMPAGE","15_24","PC_AGE","A","2014",21.775,
"SVK","EMPAGE","15_24","PC_AGE","A","2015",23.325,
"SVK","EMPAGE","15_24","PC_AGE","A","2016",25.225,
"SVK","EMPAGE","15_24","PC_AGE","A","2017",26.925,
"SVK","EMPAGE","15_24","PC_AGE","A","2018",27.45,
"ESP","EMPAGE","15_24","PC_AGE","A","2014",16.7,
"ESP","EMPAGE","15_24","PC_AGE","A","2015",17.925,
"ESP","EMPAGE","15_24","PC_AGE","A","2016",18.35,
"ESP","EMPAGE","15_24","PC_AGE","A","2017",20.475,
"ESP","EMPAGE","15_24","PC_AGE","A","2018",21.65,
"SWE","EMPAGE","15_24","PC_AGE","A","2014",42.75,
"SWE","EMPAGE","15_24","PC_AGE","A","2015",43.9,
"SWE","EMPAGE","15_24","PC_AGE","A","2016",44.45,
"SWE","EMPAGE","15_24","PC_AGE","A","2017",44.925,
"SWE","EMPAGE","15_24","PC_AGE","A","2018",45.125,
"CHE","EMPAGE","15_24","PC_AGE","A","2014",62.05,
"CHE","EMPAGE","15_24","PC_AGE","A","2015",61.55,
"CHE","EMPAGE","15_24","PC_AGE","A","2016",62.5,
"CHE","EMPAGE","15_24","PC_AGE","A","2017",63.125,
"CHE","EMPAGE","15_24","PC_AGE","A","2018",62.6,
"TUR","EMPAGE","15_24","PC_AGE","A","2014",33.525,
"TUR","EMPAGE","15_24","PC_AGE","A","2015",34.075,
"TUR","EMPAGE","15_24","PC_AGE","A","2016",34.1,
"TUR","EMPAGE","15_24","PC_AGE","A","2017",34.35,
"TUR","EMPAGE","15_24","PC_AGE","A","2018",35,
"GBR","EMPAGE","15_24","PC_AGE","A","2014",48,
"GBR","EMPAGE","15_24","PC_AGE","A","2015",50,
"GBR","EMPAGE","15_24","PC_AGE","A","2016",50.85,
"GBR","EMPAGE","15_24","PC_AGE","A","2017",50.65,
"GBR","EMPAGE","15_24","PC_AGE","A","2018",50.625,
"USA","EMPAGE","15_24","PC_AGE","A","2014",47.63922,
"USA","EMPAGE","15_24","PC_AGE","A","2015",48.60504,
"USA","EMPAGE","15_24","PC_AGE","A","2016",49.413,
"USA","EMPAGE","15_24","PC_AGE","A","2017",50.34262,
"USA","EMPAGE","15_24","PC_AGE","A","2018",50.46012,
"BRA","EMPAGE","15_24","PC_AGE","A","2014",43.38263,
"CHL","EMPAGE","15_24","PC_AGE","A","2014",30.07909,
"CHL","EMPAGE","15_24","PC_AGE","A","2015",30.199,
"CHL","EMPAGE","15_24","PC_AGE","A","2016",29.1628,
"CHL","EMPAGE","15_24","PC_AGE","A","2017",28.3165,
"CHL","EMPAGE","15_24","PC_AGE","A","2018",27.54174,
"EST","EMPAGE","15_24","PC_AGE","A","2014",33.325,
"EST","EMPAGE","15_24","PC_AGE","A","2015",36.25,
"EST","EMPAGE","15_24","PC_AGE","A","2016",37.475,
"EST","EMPAGE","15_24","PC_AGE","A","2017",40.55,
"EST","EMPAGE","15_24","PC_AGE","A","2018",41.7,
"ISR","EMPAGE","15_24","PC_AGE","A","2014",44.46667,
"ISR","EMPAGE","15_24","PC_AGE","A","2015",44.40833,
"ISR","EMPAGE","15_24","PC_AGE","A","2016",44.28333,
"ISR","EMPAGE","15_24","PC_AGE","A","2017",44.775,
"ISR","EMPAGE","15_24","PC_AGE","A","2018",43.71667,
"SVN","EMPAGE","15_24","PC_AGE","A","2014",26.8,
"SVN","EMPAGE","15_24","PC_AGE","A","2015",29.575,
"SVN","EMPAGE","15_24","PC_AGE","A","2016",28.625,
"SVN","EMPAGE","15_24","PC_AGE","A","2017",34.75,
"SVN","EMPAGE","15_24","PC_AGE","A","2018",35.15,
"ZAF","EMPAGE","15_24","PC_AGE","A","2014",12.31537,
"ZAF","EMPAGE","15_24","PC_AGE","A","2015",13.28373,
"ZAF","EMPAGE","15_24","PC_AGE","A","2016",12.3259,
"ZAF","EMPAGE","15_24","PC_AGE","A","2017",12.5242,
"ZAF","EMPAGE","15_24","PC_AGE","A","2018",11.85098,
"EU28","EMPAGE","15_24","PC_AGE","A","2014",32.425,
"EU28","EMPAGE","15_24","PC_AGE","A","2015",33.125,
"EU28","EMPAGE","15_24","PC_AGE","A","2016",33.85,
"EU28","EMPAGE","15_24","PC_AGE","A","2017",34.675,
"EU28","EMPAGE","15_24","PC_AGE","A","2018",35.375,
"OECD","EMPAGE","15_24","PC_AGE","A","2014",39.61369,"B"
"OECD","EMPAGE","15_24","PC_AGE","A","2015",40.16479,"B"
"OECD","EMPAGE","15_24","PC_AGE","A","2016",40.74446,"B"
"OECD","EMPAGE","15_24","PC_AGE","A","2017",41.31867,"B"
"OECD","EMPAGE","15_24","PC_AGE","A","2018",41.91398,
"G-7","EMPAGE","15_24","PC_AGE","A","2014",42.82663,
"G-7","EMPAGE","15_24","PC_AGE","A","2015",43.44695,
"G-7","EMPAGE","15_24","PC_AGE","A","2016",44.23351,
"G-7","EMPAGE","15_24","PC_AGE","A","2017",44.90512,
"G-7","EMPAGE","15_24","PC_AGE","A","2018",45.634,
"EA19","EMPAGE","15_24","PC_AGE","A","2014",30.625,
"EA19","EMPAGE","15_24","PC_AGE","A","2015",30.85,
"EA19","EMPAGE","15_24","PC_AGE","A","2016",31.375,
"EA19","EMPAGE","15_24","PC_AGE","A","2017",32.3,
"EA19","EMPAGE","15_24","PC_AGE","A","2018",33.25,
"AUS","EMPAGE","15_24","PC_AGE","A","2014",57.70333,
"AUS","EMPAGE","15_24","PC_AGE","A","2015",58.44546,
"AUS","EMPAGE","15_24","PC_AGE","A","2016",58.34512,
"AUS","EMPAGE","15_24","PC_AGE","A","2017",58.47233,
"AUS","EMPAGE","15_24","PC_AGE","A","2018",59.8588,
"COL","EMPAGE","15_24","PC_AGE","A","2014",44.36,
"COL","EMPAGE","15_24","PC_AGE","A","2015",45.03417,
"COL","EMPAGE","15_24","PC_AGE","A","2016",43.78833,
"COL","EMPAGE","15_24","PC_AGE","A","2017",43.28667,
"COL","EMPAGE","15_24","PC_AGE","A","2018",42.2475,
"RUS","EMPAGE","15_24","PC_AGE","A","2014",33.43768,
"LVA","EMPAGE","15_24","PC_AGE","A","2014",32.5,
"LVA","EMPAGE","15_24","PC_AGE","A","2015",34.55,
"LVA","EMPAGE","15_24","PC_AGE","A","2016",32.8,
"LVA","EMPAGE","15_24","PC_AGE","A","2017",32.975,
"LVA","EMPAGE","15_24","PC_AGE","A","2018",33.1,
"LTU","EMPAGE","15_24","PC_AGE","A","2014",27.625,
"LTU","EMPAGE","15_24","PC_AGE","A","2015",28.35,
"LTU","EMPAGE","15_24","PC_AGE","A","2016",30.25,
"LTU","EMPAGE","15_24","PC_AGE","A","2017",30.375,
"LTU","EMPAGE","15_24","PC_AGE","A","2018",32.425,
